photo,correct_classification,classical_2,score
WIN_20220701_15_17_07_Pro_jpg.rf.J6IIBVF05gmG3joX8CAI.jpg,0,3,0.0
WIN_20220701_15_17_23_Pro_jpg.rf.zXuxMFBWZJ2jsB2zQxMt.jpg,0,2,0.0
WIN_20220701_15_17_35_Pro_jpg.rf.hr8dG5AjRTY5asQXTXOc.jpg,0,2,0.0
WIN_20220701_15_17_43_Pro_jpg.rf.W4q3f9RkEYE7v3jfhckB.jpg,0,2,0.0
WIN_20220701_15_44_06_Pro_jpg.rf.wyaTTO7GEVqUpLeGP8eS.jpg,3,2,0.0
WIN_20220701_15_50_08_Pro_jpg.rf.Ny4VIQbGBGy5wijbVe2K.jpg,3;1,2,0.0
WIN_20220701_15_50_15_Pro_jpg.rf.S1rWXmopFdPxwY1M6seU.jpg,3;1,2,0.0
WIN_20220701_15_50_29_Pro_jpg.rf.xiwrI1crG9nLno6cHyoe.jpg,3;1,2,0.0
WIN_20220701_15_51_12_Pro_jpg.rf.X6mV6uLRsUlWzB0amUoD.jpg,3,0,0.0
WIN_20220701_15_53_56_Pro_jpg.rf.Luekxp5BxXio6li9Qady.jpg,3,0,0.0
WIN_20220701_15_54_49_Pro_jpg.rf.OpocdqmpUJrl4PECrdgt.jpg,3,0,0.0
WIN_20220701_16_03_08_Pro_jpg.rf.lTihv7bvB2lymKsWTVJh.jpg,2,3,0.0
WIN_20220701_16_03_19_Pro_jpg.rf.Cb1wQyGpxHnjybRKq3zn.jpg,2,3,0.0
WIN_20220701_16_11_57_Pro_jpg.rf.vwmqgiAxrAI7sjqpnQAB.jpg,2,3,0.0
WIN_20220701_16_13_52_Pro_jpg.rf.owh5extciKOtm9kAvMzr.jpg,2,3,0.0
WIN_20220701_16_17_50_Pro_jpg.rf.doIqYC9CeEmMYwfYD1BX.jpg,2,3,0.0
WIN_20220701_16_17_56_Pro_jpg.rf.P3Z0wmL4YXZZ1Dxwc1Ap.jpg,2,3,0.0
WIN_20220701_16_18_02_Pro_jpg.rf.ivQBAcxChtqTJ7AwSSHh.jpg,2,3,0.0
WIN_20220701_16_35_01_Pro_jpg.rf.VedQROKvF81EUH0C5Jyj.jpg,2,3,0.0
WIN_20220701_16_51_23_Pro_jpg.rf.VWKrFsLQoOiC8QilxJlo.jpg,2,3,0.0
WIN_20220701_16_51_28_Pro_jpg.rf.k8sjGS9DBBpdm9RObTtb.jpg,2,3,0.0
WIN_20220701_16_51_36_Pro_jpg.rf.9ZNuchkKwX0opXNgd4vo.jpg,2,3,0.0
WIN_20220701_16_53_41_Pro_jpg.rf.I0b41XjizNG7LTD4TBeO.jpg,2,3,0.0
WIN_20220701_17_02_36_Pro_jpg.rf.yD75v3xYdAx0QXjFqh2w.jpg,2,3,0.0
WIN_20220701_17_12_07_Pro_jpg.rf.Jlphc0qdvwJDi58mjxBN.jpg,2,3,0.0
WIN_20220704_12_56_12_Pro_jpg.rf.EEwOlMQmiv1jyfoZdVV6.jpg,0,3,0.0
WIN_20220704_12_56_19_Pro_jpg.rf.sXQwF1WfTAM0oZPNq7Og.jpg,0,1,0.0
WIN_20220704_12_56_31_Pro_jpg.rf.yHBzVjYdpYPpvD2cnogJ.jpg,0,3,0.0
WIN_20220704_12_58_38_Pro_jpg.rf.u38GP3SDy5MAuvmr3Ueh.jpg,0,3,0.0
WIN_20220704_12_58_45_Pro_jpg.rf.xk2xQkziuvSRinMX1Jle.jpg,0,3,0.0
WIN_20220704_14_49_21_Pro_jpg.rf.hZFLZolG8u6QXVNRppeL.jpg,0;3,3,0.5
WIN_20220704_14_49_39_Pro_jpg.rf.WPXquzHUrBorbeQqs4hO.jpg,3;0,3,0.5
WIN_20220704_14_50_22_Pro_jpg.rf.NSMqZxZQzIx2e0e73OWr.jpg,0;3,0,0.5
WIN_20220704_15_09_19_Pro_jpg.rf.PLoqPoGtwC7EG8wjzomo.jpg,1,0,0.0
WIN_20220704_15_09_58_Pro_jpg.rf.dKXK4H4LTD2C34ijTMDi.jpg,1,0,0.0
WIN_20220704_15_10_06_Pro_jpg.rf.41aYZSn3RRT2XEeQnOEx.jpg,1,0,0.0
WIN_20220704_15_10_11_Pro_jpg.rf.rVJdZ5fJ0LA90VCn9mYH.jpg,1,0,0.0
WIN_20220704_15_10_17_Pro_jpg.rf.TbX142BavQbcGwyDjWvl.jpg,1,0,0.0
WIN_20220704_15_10_24_Pro_jpg.rf.bqLgOzZ2cGtEXIiYV1pn.jpg,1,0,0.0
WIN_20220704_15_17_45_Pro_jpg.rf.AWV0J8xAvE4uCZfTTKdV.jpg,0,2,0.0
WIN_20220704_15_17_51_Pro_jpg.rf.e8zkJP2MSNEWyDvAxX81.jpg,0,2,0.0
WIN_20220704_15_17_57_Pro_jpg.rf.BIGRSp45MaePJ56kfE4B.jpg,0,2,0.0
WIN_20220704_15_18_08_Pro_jpg.rf.N5O2gFHjUBY7wKPcnhoJ.jpg,0,2,0.0
WIN_20220704_15_19_23_Pro_jpg.rf.nDOtvw0t3gIZzPqJBDpi.jpg,1;3,0,0.0
WIN_20220704_15_19_30_Pro_jpg.rf.3QCHg3jHt5QXLMjXU1Dp.jpg,1;3,3,0.5
WIN_20220704_15_19_38_Pro_jpg.rf.70zWVKRPS7IAfp0URA3P.jpg,1;3,0,0.0
WIN_20220704_15_22_48_Pro_jpg.rf.Q0JkysMFIlRofKypVHnT.jpg,3;1,3,0.5
WIN_20220704_15_22_55_Pro_jpg.rf.J9XnUfgltJYVCEQrUcyI.jpg,3;1,3,0.5
WIN_20220704_15_23_07_Pro_jpg.rf.HQF8MMdU4ASbgGfRc8Y6.jpg,3;1,3,0.5
WIN_20220704_15_24_25_Pro_jpg.rf.3InXRtNdIwIxLRFcDoyP.jpg,3;1,3,0.5
WIN_20220704_15_24_28_Pro_jpg.rf.Ogek151tAFnupSJwNCoF.jpg,3;1,3,0.5
WIN_20220704_15_24_35_Pro_jpg.rf.00d0iGlqH18d8NPtNcWk.jpg,1,3,0.0
WIN_20220704_15_25_19_Pro_jpg.rf.d6uXGsEQsSbVFDuVM4kF.jpg,0,2,0.0
WIN_20220704_15_25_23_Pro_jpg.rf.B83DW3zN90sjSX986nwj.jpg,0,1,0.0
WIN_20220704_15_25_29_Pro_jpg.rf.y4ZCFI56cKpLHv3WOQ7N.jpg,0,2,0.0
WIN_20220704_15_25_36_Pro_jpg.rf.u4frTO8lOdrULSCBztf0.jpg,0,2,0.0
WIN_20220704_15_26_25_Pro_jpg.rf.OnZWe6EU2CcRUKaCnh1i.jpg,3;1,0,0.0
WIN_20220704_15_26_30_Pro_jpg.rf.9GRjsGAulwjKxTyetk3v.jpg,1;3,3,0.5
WIN_20220704_15_26_35_Pro_jpg.rf.Q40Kml79b5nWCzcpT88O.jpg,1;3,3,0.5
WIN_20220704_15_33_21_Pro_jpg.rf.a5ki3lWxSA1LRVLALcnh.jpg,3;1,3,0.5
WIN_20220704_15_33_26_Pro_jpg.rf.FV4PQYKOL3QN41Pwudqm.jpg,3;1,2,0.0
WIN_20220704_15_33_31_Pro_jpg.rf.CKVtEYoeSKDsW2SdcS01.jpg,1;3,3,0.5
WIN_20220704_15_34_05_Pro_jpg.rf.1omrC9AqAxxVHrYWZ2sb.jpg,1,0,0.0
WIN_20220704_15_34_11_Pro_jpg.rf.yFxcYmwfolXZg4W6HfWs.jpg,1,0,0.0
WIN_20220704_15_34_15_Pro_jpg.rf.rkravPDz7wdIuRoYevY6.jpg,1,0,0.0
WIN_20220704_15_34_46_Pro_jpg.rf.pztFVkD1EuybwTxZBA2c.jpg,0,1,0.0
WIN_20220704_15_35_04_Pro_jpg.rf.QcRolprCRxcrsybqz7Gn.jpg,0,1,0.0
WIN_20220704_15_35_11_Pro_jpg.rf.PkcVq0DE8HwwTNEE0bT9.jpg,0,3,0.0
WIN_20220704_15_36_04_Pro_jpg.rf.Gucyqi0BtzJ1jXggruYW.jpg,0,2,0.0
WIN_20220704_15_36_10_Pro_jpg.rf.v9rTKoO2TYzRhpvH4kru.jpg,0,2,0.0
WIN_20220704_15_36_17_Pro_jpg.rf.elPwqWHFbu3joUlGHpT7.jpg,0,2,0.0
WIN_20220704_16_20_33_Pro_jpg.rf.7LQSyqbSE0sLup6ImxPG.jpg,1,3,0.0
WIN_20220704_16_20_37_Pro_jpg.rf.vPwq36cZ4lKG7HbQKn27.jpg,1,0,0.0
WIN_20220704_16_20_43_Pro_jpg.rf.dWy2wWM51t7vCu1ha61g.jpg,1,0,0.0
WIN_20220704_16_20_53_Pro_jpg.rf.RHvq6ay1ECpEnJQfhbtu.jpg,1,2,0.0
WIN_20220704_16_21_10_Pro_jpg.rf.d7Y3WBLU35ekiMMkVgOc.jpg,0,2,0.0
WIN_20220704_16_21_14_Pro_jpg.rf.XKFO2JGBRcdehuT2z0na.jpg,0,2,0.0
WIN_20220704_16_21_18_Pro_jpg.rf.ny7o6okiVkSETKCG9xoP.jpg,0,2,0.0
WIN_20220704_16_27_57_Pro_jpg.rf.zX6nAdbCmPUHZzIuoXUE.jpg,0,4,0.0
WIN_20220705_14_35_09_Pro_jpg.rf.BVlHV7YiHoxlyQDCaFco.jpg,4,1,0.0
WIN_20220705_15_22_01_Pro_jpg.rf.iDKSF5651QrzNyEjWdLJ.jpg,4,1,0.0
WIN_20220705_15_54_04_Pro_jpg.rf.Hyw0msvh4MiPBEFWY12X.jpg,4,1,0.0
WIN_20220705_15_56_28_Pro_jpg.rf.qxz6bsOWJuXnxkwTCPo3.jpg,4,1,0.0
WIN_20220713_16_16_51_Pro_jpg.rf.VkI3tktcwhkpPNB0LuRO.jpg,3,0,0.0
WIN_20220713_16_17_01_Pro_jpg.rf.0Y6lViwao1PL8Q1dsrAB.jpg,3,4,0.0
WIN_20221108_15_37_55_Pro_jpg.rf.rKyEuCuZy6dTGq7KqOy7.jpg,3,0,0.0
WIN_20221108_15_38_00_Pro_jpg.rf.ulrLbTYxxElNl9XhbsDs.jpg,3,2,0.0
WIN_20221108_15_39_46_Pro_jpg.rf.2Dgh9GOqZJ6kdj8IDN8w.jpg,1;3,3,0.5
WIN_20221108_15_41_55_Pro_jpg.rf.cMxOME53Sai1tXd3sOdH.jpg,0,1,0.0
WIN_20221108_15_42_03_Pro_jpg.rf.iY1SnII3v2REOvNBFLkm.jpg,3;0,0,0.5
WIN_20221108_15_42_09_Pro_jpg.rf.93Alt4JCutlk7Ivt4IER.jpg,1;3,4,0.0
WIN_20221108_15_42_36_Pro_jpg.rf.dXfEFlheUxyZvQWoNwzD.jpg,1;0,0,0.5
WIN_20221108_15_45_44_Pro_jpg.rf.WDmwl8AARyr31TuRSBYC.jpg,0,3,0.0
WIN_20221108_15_45_51_Pro_jpg.rf.YW4ARxPCdTxRcuuaEP5t.jpg,0;3,3,0.5
WIN_20221108_15_45_58_Pro_jpg.rf.hpgJdfOjfSujPIn6JSBm.jpg,3;0,3,0.5
WIN_20221108_15_46_06_Pro_jpg.rf.Vx2J0MnEO8GDnQooXPCt.jpg,0,3,0.0
WIN_20221108_15_46_15_Pro_jpg.rf.TOltKeL37Vn722E5kfXc.jpg,0,3,0.0
WIN_20221108_15_48_57_Pro_jpg.rf.3HAKq1bBxtgRTyuEVhzK.jpg,3;1,3,0.5
WIN_20221108_15_49_03_Pro_jpg.rf.pButnZc3nVF3XB1TRHMJ.jpg,1,2,0.0
WIN_20221108_15_49_07_Pro_jpg.rf.JqK26PVSwGrWOn4kDN0V.jpg,1,3,0.0
WIN_20221108_15_50_28_Pro_jpg.rf.oFvmhJKFpWJy2TtTNNhM.jpg,3,2,0.0
WIN_20221108_15_57_09_Pro_jpg.rf.gDvFKbdTtYIyMo4ZQuEE.jpg,1,0,0.0
WIN_20221108_15_57_16_Pro_jpg.rf.Bax2Xpmg6hM23RCtVG5N.jpg,1,0,0.0
WIN_20221108_15_57_37_Pro_jpg.rf.sg4MveQyFld0yPN95Kyp.jpg,1,0,0.0
WIN_20221108_16_04_06_Pro_jpg.rf.KTyrVYhGexF6jt1vbf8x.jpg,1,0,0.0
WIN_20221108_16_07_02_Pro_jpg.rf.JwuR6ZfjTHXBMbBX4pc2.jpg,1,0,0.0
WIN_20221108_16_07_13_Pro_jpg.rf.YdZden0m6l2f8lPw4Ar4.jpg,1,3,0.0
